Frame, TimeStamp, X, Y, Z, intensity
1 , 0.02 , 0.215939 , -0.539064 , 4.415179 , 0.000000
1 , 0.02 , 0.259985 , -0.462852 , 5.315783 , 0.000000
1 , 0.02 , 0.260269 , -0.277376 , 5.321577 , 0.000000
1 , 0.02 , 0.260551 , -0.092176 , 5.327361 , 0.000000
1 , 0.02 , 0.260836 , 0.094127 , 5.333180 , 0.000000
1 , 0.02 , 0.261123 , 0.281992 , 5.339048 , 0.000000
1 , 0.02 , 0.261412 , 0.470957 , 5.344950 , 0.000000
1 , 0.02 , 0.261703 , 0.661494 , 5.350902 , 0.000000
1 , 0.02 , 0.261997 , 0.854092 , 5.356917 , 0.000000
1 , 0.02 , 0.262295 , 1.049260 , 5.363013 , 0.000000
1 , 0.02 , 0.262598 , 1.247535 , 5.369206 , 0.000000
1 , 0.02 , 0.262907 , 1.449487 , 5.375514 , 0.000000
1 , 0.02 , 0.092621 , -0.466800 , 1.767311 , 0.000000
1 , 0.02 , 0.109253 , -0.475469 , 2.084668 , 0.000000
1 , 0.02 , 0.132820 , -0.487753 , 2.534347 , 0.000000
1 , 0.02 , 0.168917 , -0.506569 , 3.223130 , 0.000000
1 , 0.02 , 0.231375 , -0.539126 , 4.414904 , 0.000000
1 , 0.02 , 0.278536 , -0.462847 , 5.314790 , 0.000000
1 , 0.02 , 0.278840 , -0.277373 , 5.320582 , 0.000000
1 , 0.02 , 0.279143 , -0.092175 , 5.326365 , 0.000000
1 , 0.02 , 0.279448 , 0.094126 , 5.332183 , 0.000000
1 , 0.02 , 0.279755 , 0.281989 , 5.338050 , 0.000000
1 , 0.02 , 0.280065 , 0.470952 , 5.343951 , 0.000000
1 , 0.02 , 0.280377 , 0.661487 , 5.349901 , 0.000000
1 , 0.02 , 0.280692 , 0.854083 , 5.355916 , 0.000000
1 , 0.02 , 0.281011 , 1.049250 , 5.362010 , 0.000000
1 , 0.02 , 0.281336 , 1.247523 , 5.368202 , 0.000000
1 , 0.02 , 0.281666 , 1.449472 , 5.374509 , 0.000000
1 , 0.02 , 0.098794 , -0.466820 , 1.767055 , 0.000000
1 , 0.02 , 0.116535 , -0.475494 , 2.084383 , 0.000000
1 , 0.02 , 0.141674 , -0.487785 , 2.534029 , 0.000000
1 , 0.02 , 0.180181 , -0.506611 , 3.222782 , 0.000000
1 , 0.02 , 0.246812 , -0.539186 , 4.414559 , 0.000000
1 , 0.02 , 0.297087 , -0.462848 , 5.313797 , 0.000000
1 , 0.02 , 0.297411 , -0.277373 , 5.319587 , 0.000000
1 , 0.02 , 0.297734 , -0.092175 , 5.325370 , 0.000000
1 , 0.02 , 0.298060 , 0.094126 , 5.331187 , 0.000000
1 , 0.02 , 0.298388 , 0.281990 , 5.337052 , 0.000000
1 , 0.02 , 0.298717 , 0.470953 , 5.342952 , 0.000000
1 , 0.02 , 0.299050 , 0.661488 , 5.348901 , 0.000000
1 , 0.02 , 0.299386 , 0.854085 , 5.354915 , 0.000000
1 , 0.02 , 0.299727 , 1.049252 , 5.361008 , 0.000000
1 , 0.02 , 0.300073 , 1.247526 , 5.367199 , 0.000000
1 , 0.02 , 0.300426 , 1.449475 , 5.373505 , 0.000000
1 , 0.02 , 0.104966 , -0.466841 , 1.766775 , 0.000000
1 , 0.02 , 0.123816 , -0.475518 , 2.084068 , 0.000000
1 , 0.02 , 0.150528 , -0.487815 , 2.533675 , 0.000000
1 , 0.02 , 0.191445 , -0.506651 , 3.222385 , 0.000000
